"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 17, 2022","4.12","4.11","4.12","4.09","7.78","0.00%"
"Feb 16, 2022","4.12","4.11","4.12","4.08","12.83","0.49%"
"Feb 15, 2022","4.10","4.08","4.11","4.05","11.29","0.24%"
"Feb 14, 2022","4.09","4.07","4.10","4.03","12.35","-0.73%"
"Feb 11, 2022","4.12","4.06","4.12","4.06","9.96","1.48%"
"Feb 10, 2022","4.06","4.08","4.08","4.05","14.27","-0.25%"
"Feb 09, 2022","4.07","4.07","4.08","4.06","12.68","0.25%"
"Feb 08, 2022","4.06","4.06","4.08","4.05","10.75","-0.25%"
"Feb 07, 2022","4.07","4.12","4.12","4.06","15.73","-1.21%"
"Feb 04, 2022","4.12","4.11","4.12","4.08","9.01","0.00%"
"Feb 03, 2022","4.12","4.13","4.13","4.10","8.09","-0.24%"
"Feb 02, 2022","4.13","4.10","4.14","4.10","8.43","0.73%"
"Feb 01, 2022","4.10","4.17","4.17","4.10","10.05","-0.73%"
"Jan 31, 2022","4.13","4.11","4.15","4.11","9.23","0.49%"
"Jan 28, 2022","4.11","4.09","4.13","4.09","8.21","0.49%"
"Jan 27, 2022","4.09","4.11","4.12","4.08","9.59","-0.49%"
"Jan 26, 2022","4.11","4.12","4.14","4.11","9.17","0.00%"
"Jan 25, 2022","4.11","4.13","4.14","4.10","10.74","-0.72%"
"Jan 24, 2022","4.14","4.16","4.16","4.12","13.66","-0.72%"
"Jan 21, 2022","4.17","4.17","4.18","4.16","8.83","-0.24%"
"Jan 20, 2022","4.18","4.18","4.19","4.17","9.16","0.00%"
"Jan 19, 2022","4.18","4.19","4.19","4.17","8.32","-0.24%"
"Jan 18, 2022","4.19","4.19","4.20","4.18","8.22","0.00%"
"Jan 17, 2022","4.19","4.22","4.22","4.17","13.96","-0.71%"
"Jan 14, 2022","4.22","4.23","4.24","4.21","11.47","-0.47%"
"Jan 13, 2022","4.24","4.20","4.24","4.19","11.76","0.47%"
"Jan 12, 2022","4.22","4.18","4.22","4.15","13.81","0.96%"
"Jan 11, 2022","4.18","4.20","4.20","4.15","9.60","-0.24%"
"Jan 10, 2022","4.19","4.19","4.19","4.16","10.19","0.00%"
"Jan 07, 2022","4.19","4.17","4.19","4.15","9.52","0.48%"
"Jan 06, 2022","4.17","4.20","4.20","4.15","10.53","-0.48%"
"Jan 05, 2022","4.19","4.22","4.22","4.19","11.69","-0.71%"
"Jan 04, 2022","4.22","4.23","4.24","4.21","9.01","-0.24%"
"Jan 03, 2022","4.23","4.26","4.26","4.21","8.86","-0.94%"
"Dec 30, 2021","4.27","4.21","4.27","4.21","10.05","0.47%"
"Dec 29, 2021","4.25","4.24","4.25","4.22","11.12","0.47%"
"Dec 28, 2021","4.23","4.22","4.23","4.20","10.81","0.00%"
"Dec 27, 2021","4.23","4.21","4.23","4.20","12.85","0.71%"
"Dec 26, 2021","4.20","4.24","4.24","4.20","7.62","-0.94%"
"Dec 23, 2021","4.24","4.24","4.24","4.20","13.60","0.00%"
"Dec 22, 2021","4.24","4.22","4.24","4.20","13.30","0.71%"
"Dec 21, 2021","4.21","4.23","4.23","4.19","10.00","-0.71%"
"Dec 20, 2021","4.24","4.19","4.24","4.16","10.04","0.71%"
"Dec 19, 2021","4.21","4.26","4.26","4.17","10.41","-1.17%"
"Dec 16, 2021","4.26","4.23","4.26","4.21","12.79","0.47%"
"Dec 15, 2021","4.24","4.26","4.26","4.22","8.21","-0.47%"
"Dec 14, 2021","4.26","4.22","4.26","4.21","11.15","1.43%"
"Dec 13, 2021","4.20","4.24","4.26","4.20","13.23","-0.94%"
"Dec 12, 2021","4.24","4.25","4.25","4.23","11.51","-0.24%"
"Dec 09, 2021","4.25","4.20","4.26","4.19","15.67","0.95%"
"Dec 08, 2021","4.21","4.20","4.21","4.18","11.21","0.48%"
"Dec 07, 2021","4.19","4.23","4.25","4.19","15.58","-0.95%"
"Dec 06, 2021","4.23","4.20","4.25","4.18","20.41","0.48%"
"Dec 05, 2021","4.21","4.20","4.21","4.14","14.32","1.69%"
"Nov 30, 2021","4.14","4.19","4.21","4.14","36.88","-1.90%"
"Nov 29, 2021","4.22","4.13","4.22","4.13","10.60","2.93%"
"Nov 28, 2021","4.10","3.85","4.10","3.85","10.50","-2.15%"
"Nov 25, 2021","4.19","4.19","4.22","4.17","13.52","0.00%"
"Nov 24, 2021","4.19","4.19","4.22","4.18","10.96","0.48%"
"Nov 23, 2021","4.17","4.23","4.23","4.16","13.22","-1.42%"
"Nov 22, 2021","4.23","4.20","4.23","4.19","10.49","0.71%"
"Nov 21, 2021","4.20","4.22","4.22","4.19","9.74","-0.71%"
"Nov 18, 2021","4.23","4.19","4.23","4.19","13.71","0.24%"
"Nov 17, 2021","4.22","4.22","4.22","4.18","10.86","0.48%"
"Nov 16, 2021","4.20","4.23","4.23","4.18","11.55","-0.71%"
"Nov 15, 2021","4.23","4.29","4.29","4.18","15.10","-0.70%"
"Nov 14, 2021","4.26","4.28","4.28","4.25","8.66","-0.47%"
"Nov 11, 2021","4.28","4.29","4.29","4.26","11.24","-0.23%"
"Nov 10, 2021","4.29","4.30","4.30","4.25","11.18","-0.23%"
"Nov 09, 2021","4.30","4.25","4.30","4.22","11.08","0.94%"
"Nov 08, 2021","4.26","4.27","4.28","4.24","11.70","-0.47%"
