"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 25, 2022","2.83","2.87","2.87","2.83","3.43M","-1.05%"
"Jul 22, 2022","2.86","2.87","2.88","2.84","2.97M","0.00%"
"Jul 21, 2022","2.86","2.85","2.87","2.83","8.88M","0.00%"
"Jul 20, 2022","2.86","2.81","2.86","2.81","7.52M","2.14%"
"Jul 19, 2022","2.80","2.80","2.82","2.79","5.69M","0.00%"
"Jul 18, 2022","2.80","2.80","2.82","2.78","7.70M","0.00%"
"Jul 15, 2022","2.80","2.81","2.82","2.80","1.33M","-0.36%"
"Jul 14, 2022","2.81","2.79","2.82","2.79","2.32M","0.36%"
"Jul 13, 2022","2.80","2.86","2.86","2.79","20.79M","-1.75%"
"Jul 12, 2022","2.85","2.88","2.89","2.85","8.33M","-1.38%"
"Jul 07, 2022","2.89","2.88","2.91","2.88","2.55M","0.35%"
"Jul 06, 2022","2.88","2.89","2.90","2.86","12.64M","-0.69%"
"Jul 05, 2022","2.90","2.92","2.92","2.89","7.67M","-0.68%"
"Jul 04, 2022","2.92","2.92","2.93","2.91","7.07M","-0.68%"
"Jul 01, 2022","2.94","2.92","2.95","2.91","4.72M","0.34%"
"Jun 30, 2022","2.93","2.96","2.98","2.93","6.43M","-1.01%"
"Jun 29, 2022","2.96","2.99","2.99","2.96","10.03M","-1.33%"
"Jun 28, 2022","3.00","2.99","3.01","2.98","14.61M","0.00%"
"Jun 27, 2022","3.00","2.98","3.01","2.97","20.93M","1.01%"
"Jun 24, 2022","2.97","2.94","2.99","2.94","23.96M","0.68%"
"Jun 23, 2022","2.95","2.92","2.95","2.88","16.68M","1.03%"
"Jun 22, 2022","2.92","2.99","2.99","2.89","28.78M","-1.68%"
"Jun 21, 2022","2.97","3.00","3.01","2.96","13.28M","0.34%"
"Jun 20, 2022","2.96","3.00","3.00","2.94","23.78M","-2.63%"
"Jun 17, 2022","3.04","3.04","3.06","3.01","23.39M","-0.33%"
"Jun 16, 2022","3.05","3.07","3.11","3.05","16.90M","-0.97%"
"Jun 15, 2022","3.08","3.07","3.10","3.06","9.05M","0.00%"
"Jun 14, 2022","3.08","3.07","3.10","3.06","15.30M","0.00%"
"Jun 13, 2022","3.08","3.10","3.13","3.04","41.81M","-2.22%"
"Jun 10, 2022","3.15","3.13","3.17","3.08","30.65M","0.32%"
"Jun 09, 2022","3.14","3.10","3.15","3.06","100.08M","0.96%"
"Jun 08, 2022","3.11","3.14","3.17","3.10","46.48M","-0.64%"
"Jun 07, 2022","3.13","3.18","3.24","3.13","79.62M","-1.88%"
"Jun 06, 2022","3.19","3.08","3.27","3.06","185.36M","6.33%"
